time,area0,area1,num0,num1
5,10583,2828374,12,12
6,10575,12063478,12,12
7,10530,21535576,12,12
8,13492,24707720,12,12
9,10170,33833618,12,12
10,10129,25710472,12,12
11,9784,27542312,12,12
12,20446,30943953,12,12
13,132072,30340675,12,12
14,918423,31052121,12,12
15,4952343,28300723,12,12
16,5749585,24894610,12,12
17,19942731,9442462,12,12
18,9165047,2269315,12,12
19,8700684,325424,12,12
20,7947585,65046,12,12
21,7476789,13878,12,12
22,195172,25847,12,12
23,10617,273248,12,12
24,10568,405019,12,12
25,10583,2765761,12,12
26,10677,12037885,12,12
27,10530,28541685,12,12
28,10103,29760975,12,12
29,9728,18060751,12,12
30,9750,16188551,12,12
31,9390,14961337,12,12
32,4418,8754872,12,12
33,27603,5728329,12,12
34,122182,3650777,12,12
35,611366,2978493,12,12
36,2073228,2079750,12,12
37,4022358,3809782,12,12
38,3360532,2128204,12,12
39,4182360,372743,12,12
40,3338230,49467,12,12
41,694740,10875,12,12
42,17397,26342,12,12
43,10673,275900,12,12
44,10602,342575,12,12
45,10534,2414527,12,12
46,10564,10802650,12,12
47,10384,25147754,12,12
48,10167,14546897,12,12
49,9477,15140388,12,12
50,8325,11375840,12,12
51,8397,5734053,12,12
52,1856,3396382,12,12
53,3768,644602,12,12
54,26167,623130,12,12
55,140272,571211,12,12
56,471168,432840,12,12
57,925878,221040,12,12
58,588292,214507,12,12
59,0,56568,12,12
0,0,24326,12,12
1,4571,12338,12,12
2,10568,26066,12,12
3,10594,274318,12,12
4,10463,368608,12,12
5,10703,2487036,12,12
6,9968,10903851,12,12
7,10133,25085636,12,12
8,9930,30927343,12,12
9,5753,26666405,12,12
10,6566,26247325,12,12
11,10380,37058375,12,12
12,18204,10135024,12,12
13,200420,15218320,12,12
14,1502426,15241715,12,12
15,6348708,14287679,12,12
16,7751380,6197092,12,12
17,3938557,3733765,12,12
18,19703553,969657,12,12
19,22121957,815702,12,12
20,25281089,134862,12,12
21,9124295,19919,12,12
22,52193,23849,12,12
23,10617,286686,12,12
24,10564,1977287,12,12
25,10628,2444669,12,12
26,9777,6694399,12,12
27,9567,8050822,12,12
28,9630,7807018,12,12
29,9589,13028467,12,12
30,9533,12891990,12,12
31,5561,11334761,12,12
32,2617,8083856,12,12
33,11966,1674866,12,12
34,78776,1004193,12,12
35,423041,877023,12,12
36,1423545,1322628,12,12
37,858566,886320,12,12
38,758200,280053,12,12
39,2523392,103743,12,12
40,2695927,13125,12,12
41,1357875,11010,12,12
42,68850,26735,12,12
43,10590,291317,12,12
44,10624,1670627,12,12
45,10583,2166775,12,12
46,10497,10242253,12,12
47,10392,20509478,12,12
48,9923,8547950,12,12
49,10152,11982123,12,12
50,10182,10956510,12,12
51,8805,5900287,12,12
52,3682,3231047,12,12
53,26362,2958915,12,12
54,209115,2779541,12,12
55,1010771,2415532,12,12
56,1732935,1573563,12,12
57,4039275,4317052,12,12
58,1018305,1787834,12,12
59,3656430,303327,12,12
0,3995283,36169,12,12
1,2408280,11482,12,12
2,10425,25727,12,12
3,10654,280527,12,12
4,10463,2041499,12,12
5,10673,2363646,12,12
6,10500,10690771,12,12
7,10602,24701006,12,12
8,10275,4569421,12,12
9,2887,13449980,12,12
10,1860,12678041,12,12
11,1207,11179342,12,12
12,1717,5744013,12,12
13,11328,3393048,12,12
14,75468,3163717,12,12
15,407160,2703990,12,12
16,1352636,1743150,12,12
17,836778,1185517,12,12
18,3091071,378622,12,12
19,4824563,73350,12,12
20,4587330,8917,12,12
21,3095110,10354,12,12
22,75645,26642,12,12
23,10628,281457,12,12
24,10583,1548831,12,12
25,10583,2217468,12,12
26,10583,10354685,12,12
27,10583,26954915,12,12
28,10583,5344947,12,12
29,10017,20621463,12,12
30,9672,11204452,12,12
31,9683,9566122,12,12
32,19445,6688934,12,12
33,125845,9330153,12,12
34,860536,9158235,12,12
35,4711571,7723252,12,12
36,4826846,5959545,12,12
37,28522572,4809499,12,12
38,21332331,2420988,12,12
39,16494813,412816,12,12
40,14438703,55075,12,12
41,14441122,10928,12,12
42,230687,26330,12,12
43,10596,292816,12,12
44,10562,2142234,12,12
45,10505,2241144,12,12
46,10656,9900267,12,12
47,10636,21108506,12,12
48,3592,3523600,12,12
49,6600,25473544,12,12
50,9759,16057808,12,12
